num_items,time
3,0.00019740200059459312
4,0.0002316469999641413
5,0.00027643199973681476
6,0.00032051400012278464
7,0.00033558299946889747
8,0.0003780630004257546
9,0.00042140500045206863
10,0.0004701570005636313
10,0.00046029900022404036
20,0.000873869000315608
30,0.001242735000232642
40,0.0016555829997741967
50,0.0018352220004089759
60,0.0019743439997910173
70,0.0023731069995847065
80,0.002657814000485814
90,0.0030151079999996
100,0.003376368999852275
150,0.0051831269993272144
200,0.006820397000410594
250,0.008545802000298863
300,0.010400289999779488
350,0.01234467699941888
400,0.014215426999726333
450,0.01616765999915515
500,0.01836222000019916
550,0.020154802000433847
600,0.02225791900036711
650,0.024252672000329767
700,0.026389884000309394
750,0.02840676799951325
800,0.030763624000428536
850,0.035964024999884714
900,0.03469656400011445
950,0.03688162599974021
1000,0.03881358000035107
1250,0.04981366099946172
1500,0.06035107900061121
1750,0.07126327500009211
2000,0.08134326100025646
