num_items,time
3,0.0002147960003640037
4,0.000275029000476934
5,0.0003423159996600589
6,0.0004792440004166565
7,0.0005399589999797172
8,0.0005475130001286743
9,0.0006308510000962997
10,0.0007357479998972849
10,0.0007878470005380223
20,0.0024698890001673135
30,0.005297043000609847
40,0.009401415999491292
50,0.014053872000658885
60,0.021491612999852805
70,0.026903642000434047
80,0.03481228199962061
90,0.04353613900002529
100,0.05395965200023056
150,0.11907212599999184
200,0.20949490499970125
250,0.34448147199964296
300,0.5044650449999608
350,0.6802457989997492
400,0.8937624000000142
450,1.1554227730002822
500,1.4495092170000135
550,1.7847145899995667
600,2.1230876070003433
650,2.437042923000263
700,2.859921007000594
750,3.32072007700026
800,3.7854715539997414
850,4.291794685000241
900,4.799941624999519
950,5.415206509999734
1000,5.965125261999674
1250,9.425339460000032
1500,13.603413123999417
1750,18.519037379999645
2000,24.43013766599961
