num_items,time
3,0.000285459000224364
4,0.00039032699987728847
5,0.00047041699963301653
6,0.0005680410004060832
7,0.0006922659995325375
8,0.0007911129996500676
9,0.0009122510000452166
10,0.0010378070001024753
10,0.0009104580003622686
20,0.001961941000445222
30,0.0031159679992924794
40,0.0042980270000043674
50,0.005539599999792699
60,0.006753790999937337
70,0.008121730999846477
80,0.009619135999855644
90,0.01064966000012646
100,0.011979668999629212
150,0.018994863999978406
200,0.026108482999916305
250,0.033158973999888985
300,0.04153222900004039
350,0.049092651000137266
400,0.057077034000030835
450,0.06608078899989778
500,0.07292841700018471
550,0.08235436900031345
600,0.09106618299938418
650,0.10190287499972328
700,0.11305733799963491
750,0.11983830100052728
800,0.12983730399992055
850,0.13791252699957113
900,0.14601232699988032
950,0.15397888600000442
1000,0.16263133799930074
1250,0.2116240409995953
1500,0.25908681799955957
1750,0.3080534410000837
2000,0.3563672239997686
