num_items,time
3,0.00016728400078136474
4,0.0002225580001322669
5,0.0002822599999490194
6,0.0003380550006113481
7,0.0004095289996257634
8,0.0004748009996546898
9,0.0005554230001507676
10,0.000622479000412568
10,0.0006336199994620983
20,0.001653132999308582
30,0.003040828999473888
40,0.004931739000312518
50,0.007059784000375657
60,0.00969528200039349
70,0.012858770999628177
80,0.01672394799970789
90,0.020504135999544815
100,0.025436365000132355
150,0.05356071699952736
200,0.09120960899963393
250,0.14252831700014212
300,0.20697465899957024
350,0.28564223299963487
400,0.3721024549995491
450,0.46707784499994887
500,0.5797239690000424
550,0.7120345930006806
600,0.853718053999728
650,1.0107098549997318
700,1.1835854950004432
750,1.3276294090001102
800,1.5711312550001821
850,1.8330951440002536
900,2.102415332000419
950,2.3452564679992065
1000,2.5162668490002034
1250,4.167100910000045
1500,5.738601947999996
1750,7.718153422999421
2000,10.231612218999544
