num_items,time
3,0.00018685099985304987
4,0.00023061299998516915
5,0.0002798750001602457
6,0.00032899800044106087
7,0.00037932299983367557
8,0.00043954500051768264
9,0.0004972039996573585
10,0.0005628580001939554
10,0.0005388930003391579
20,0.0011483270000098855
30,0.0018281239999851095
40,0.0024575170000389335
50,0.0032516679993932485
60,0.003933689999939816
70,0.004660534999857191
80,0.005417357000624179
90,0.006216818999746465
100,0.00850997800080222
150,0.01213433500015526
200,0.015464140999938536
250,0.01970680100021127
300,0.024623348000204714
350,0.02992952700060414
400,0.034632452000550984
450,0.04016176999994059
500,0.04469856199921196
550,0.05160203199920943
600,0.055967933999454544
650,0.06058238199966581
700,0.06867740000052436
750,0.07276493900008063
800,0.07882815900029527
850,0.08328630500000145
900,0.088567936999425
950,0.09248281100008171
1000,0.09996767299981002
1250,0.12900448400068854
1500,0.15980734000004304
1750,0.189825122000002
2000,0.21708171799946285
